,Brazil,China,Germany,Greece,India,US
2016-05-24,49345.0,2821.67,10057.31,642.08,25305.47,2076.06
2016-05-25,49483.0,2815.09,10205.21,641.8,25881.17,2090.54
2016-05-27,49051.0,2821.05,10286.31,636.83,26653.6,2099.06
2016-05-31,48472.0,2916.62,10262.74,646.97,26667.96,2096.96
2016-06-01,49013.0,2913.51,10204.44,645.1,26713.93,2099.33
2016-06-02,49887.0,2925.23,10208.0,639.19,26843.14,2105.26
2016-06-03,50620.0,2938.68,10103.26,648.63,26843.03,2099.13
2016-06-06,50432.0,2934.1,10121.08,639.11,26777.45,2109.41
2016-06-07,50488.0,2936.04,10287.68,653.6,27009.67,2112.13
2016-06-08,51629.0,2927.16,10217.03,652.38,27020.66,2119.12
2016-06-13,49661.0,2833.07,9657.44,594.58,26396.77,2079.06
2016-06-14,48648.0,2842.19,9519.2,593.45,26395.71,2075.32
2016-06-15,48915.0,2887.21,9606.71,575.52,26726.34,2071.5
2016-06-16,49412.0,2872.82,9550.47,556.48,26525.46,2077.99
2016-06-17,49534.0,2885.11,9631.36,586.55,26625.91,2071.22
2016-06-21,50838.0,2878.56,10015.54,608.29,26812.78,2088.9
2016-06-22,50156.0,2905.55,10071.06,611.63,26765.65,2085.45
2016-06-23,51560.0,2891.96,10257.03,617.69,27002.22,2113.32
2016-06-24,50105.0,2854.29,9557.16,534.78,26397.71,2037.41
2016-06-27,49246.0,2895.7,9268.66,519.33,26402.96,2000.54
2016-06-28,50007.0,2912.56,9447.28,538.65,26524.55,2036.09
2016-06-29,51002.0,2931.59,9612.27,541.88,26740.39,2070.77
2016-06-30,51527.0,2929.61,9680.09,542.12,26999.72,2098.86
2016-07-01,52233.0,2932.48,9776.12,544.76,27144.91,2102.95
2016-07-05,51842.0,3006.39,9532.61,527.16,27166.87,2088.55
2016-07-07,52015.0,3016.85,9418.78,531.64,27201.49,2097.9
2016-07-08,53141.0,2988.09,9629.66,537.1,27126.9,2129.9
2016-07-11,53960.0,2994.92,9833.41,548.09,27626.69,2137.16
2016-07-12,54256.0,3049.38,9964.07,551.92,27808.14,2152.14
2016-07-13,54598.0,3060.69,9930.71,559.72,27815.18,2152.43
2016-07-14,55481.0,3054.02,10068.3,562.84,27942.11,2163.75
2016-07-15,55578.0,3054.3,10066.9,557.36,27836.5,2161.74
2016-07-18,56484.0,3043.56,10063.13,555.26,27746.66,2166.89
2016-07-19,56698.0,3036.6,9981.24,563.75,27787.62,2163.78
2016-07-20,56578.0,3027.9,10142.01,569.74,27915.89,2173.02
2016-07-21,56641.0,3039.01,10156.21,568.65,27710.52,2165.17
2016-07-22,57002.0,3012.82,10147.46,571.57,27803.24,2175.03
2016-07-25,56873.0,3015.83,10198.24,564.75,28095.34,2168.48
2016-07-26,56783.0,3050.17,10247.76,566.0,27976.52,2169.18
2016-07-27,56853.0,2992.0,10319.55,569.16,28024.33,2166.58
2016-07-28,56667.0,2994.32,10274.93,562.84,28208.62,2170.06
2016-07-29,57308.0,2979.34,10337.5,571.33,28051.86,2173.6
2016-08-01,56756.0,2953.39,10330.52,569.6,28003.12,2170.84
2016-08-02,56162.0,2971.28,10144.34,551.64,27981.71,2157.03
2016-08-03,57077.0,2978.46,10170.21,551.61,27697.51,2163.79
2016-08-04,57594.0,2982.43,10227.86,556.62,27714.37,2164.25
2016-08-05,57661.0,2976.7,10367.21,562.76,28078.35,2182.87
2016-08-08,57635.0,3004.28,10432.36,560.39,28182.57,2180.89
2016-08-09,57689.0,3025.68,10692.9,562.4,28085.16,2181.74
2016-08-10,56920.0,3018.75,10650.89,567.28,27774.88,2175.49
2016-08-11,58300.0,3002.64,10742.84,572.33,27859.6,2185.79
2016-08-12,58298.0,3050.67,10713.43,576.12,28152.4,2184.05
2016-08-16,58855.0,3110.04,10676.65,572.43,28064.61,2178.15
2016-08-17,59324.0,3109.55,10537.67,567.49,28005.37,2182.22
2016-08-18,59166.0,3104.11,10603.03,572.25,28123.44,2187.02
2016-08-19,59099.0,3108.1,10544.36,561.32,28077.0,2183.87
2016-08-22,57781.0,3084.81,10494.35,566.01,27985.54,2182.64
2016-08-23,58020.0,3089.71,10592.88,567.9,27990.21,2186.9
2016-08-24,57718.0,3085.88,10622.97,567.94,28059.94,2175.44
2016-08-25,57722.0,3068.33,10529.59,565.83,27835.91,2172.47
2016-08-26,57716.0,3070.31,10587.77,565.34,27782.25,2169.04
2016-08-29,58610.0,3070.03,10544.44,561.69,27902.66,2180.38
2016-08-30,58575.0,3074.68,10657.64,564.37,28343.01,2176.12
2016-08-31,57901.0,3085.49,10592.69,577.39,28452.17,2170.95
2016-09-01,58236.0,3063.31,10534.31,578.87,28423.48,2170.86
2016-09-02,59616.0,3067.35,10683.82,582.13,28532.11,2179.98
2016-09-06,60129.0,3090.71,10687.14,578.49,28978.02,2186.48
2016-09-08,60232.0,3095.95,10675.29,566.58,29045.28,2181.3
2016-09-09,58000.0,3078.85,10573.44,566.8,28797.25,2127.81
2016-09-12,58586.0,3021.98,10431.77,557.25,28353.54,2159.04
2016-09-14,57059.0,3002.85,10378.4,556.13,28372.23,2125.77
2016-09-19,57350.0,3026.05,10373.87,557.47,28634.5,2139.12
2016-09-20,57736.0,3023.0,10393.86,560.59,28523.2,2139.76
2016-09-21,58394.0,3025.87,10436.49,562.12,28507.42,2163.12
2016-09-22,58994.0,3042.31,10674.18,572.15,28773.13,2177.18
2016-09-23,58697.0,3033.9,10626.97,574.05,28668.22,2164.69
2016-09-26,58054.0,2980.43,10393.71,563.59,28294.28,2146.1
2016-09-27,58382.0,2998.17,10361.48,562.4,28223.7,2159.93
2016-09-28,59356.0,2987.86,10438.34,563.15,28292.81,2171.37
2016-09-29,58351.0,2998.48,10405.54,568.24,27827.53,2151.13
2016-09-30,58367.0,3004.7,10511.02,565.53,27865.96,2168.27
2016-10-10,61668.0,3048.14,10624.08,583.27,28082.34,2163.66
2016-10-13,61119.0,3061.35,10414.07,576.58,27643.11,2132.55
2016-10-14,61767.0,3063.81,10580.38,589.29,27673.6,2132.98
2016-10-17,62696.0,3041.17,10503.57,586.06,27529.97,2126.5
2016-10-18,63782.0,3083.88,10631.55,593.83,28050.88,2139.6
2016-10-19,63506.0,3084.72,10645.68,593.02,27984.37,2144.29
2016-10-20,63838.0,3084.46,10701.39,595.9,28129.84,2141.34
2016-10-21,64108.0,3090.94,10710.73,594.0,28077.18,2141.16
2016-10-24,64060.0,3128.25,10761.17,593.13,28179.08,2151.33
2016-10-25,63866.0,3131.94,10757.31,588.95,28091.42,2143.16
2016-10-26,63826.0,3116.31,10709.68,589.46,27836.51,2139.43
2016-10-27,64250.0,3112.35,10717.08,588.67,27915.9,2133.04
2016-10-31,64925.0,3100.49,10665.01,591.13,27930.21,2126.15
2016-11-01,63326.0,3122.44,10526.16,582.45,27876.61,2111.72
2016-11-03,61750.0,3128.94,10325.88,578.23,27430.28,2088.66
2016-11-04,61598.0,3125.32,10259.13,573.92,27274.15,2085.18
2016-11-07,64052.0,3133.33,10456.95,580.57,27458.99,2131.52
2016-11-08,64158.0,3147.89,10482.32,582.2,27591.14,2139.56
2016-11-09,63258.0,3128.37,10646.01,581.92,27252.53,2163.26
2016-11-10,61201.0,3171.28,10630.12,587.02,27517.68,2167.48
2016-11-11,59184.0,3196.04,10667.95,582.59,26818.82,2164.45
2016-11-16,60759.0,3205.06,10663.87,592.26,26298.69,2176.94
2016-11-17,59770.0,3208.45,10685.54,601.07,26227.62,2187.12
2016-11-18,59962.0,3192.86,10664.56,611.93,26150.24,2181.9
2016-11-21,61070.0,3218.15,10685.13,615.83,25765.14,2198.18
2016-11-22,61954.0,3248.35,10713.85,631.21,25960.78,2202.94
2016-11-23,61986.0,3241.14,10662.44,632.52,26051.81,2204.72
2016-11-25,61559.0,3261.94,10699.27,623.35,26316.34,2213.35
2016-11-28,62856.0,3277.0,10582.67,604.06,26350.17,2201.72
2016-11-29,60987.0,3282.92,10620.49,610.6,26394.01,2204.66
2016-11-30,61906.0,3250.03,10640.3,628.75,26652.81,2198.81
2016-12-01,59507.0,3273.31,10534.05,614.61,26559.92,2191.08
2016-12-02,60316.0,3243.84,10513.35,613.95,26230.66,2191.95
2016-12-05,59832.0,3204.71,10684.83,620.29,26349.1,2204.71
2016-12-06,61088.0,3199.65,10775.32,622.52,26392.76,2212.23
2016-12-07,61414.0,3222.24,10986.69,640.07,26236.87,2241.35
2016-12-08,60677.0,3215.37,11179.42,648.27,26694.28,2246.19
2016-12-09,60501.0,3232.88,11203.63,640.09,26747.18,2259.53
2016-12-12,59179.0,3152.97,11190.21,640.38,26515.24,2256.96
2016-12-13,59281.0,3155.04,11284.65,639.71,26697.82,2271.72
2016-12-14,58212.0,3140.53,11244.84,619.19,26602.84,2253.28
2016-12-15,58396.0,3117.68,11366.4,613.76,26519.07,2262.03
2016-12-16,58389.0,3122.98,11404.01,639.64,26489.56,2258.07
2016-12-19,57111.0,3118.08,11426.7,627.91,26374.7,2262.53
2016-12-20,57583.0,3102.88,11464.74,628.26,26307.98,2270.76
2016-12-21,57647.0,3137.43,11468.64,638.99,26242.38,2265.18
2016-12-22,57255.0,3139.56,11456.1,631.85,25979.6,2260.96
2016-12-23,57937.0,3110.15,11449.93,630.28,26040.7,2263.79
2016-12-27,58697.0,3114.66,11472.24,636.19,26213.44,2268.88
2016-12-28,59782.0,3102.24,11474.99,635.74,26210.68,2249.92
2016-12-29,60227.0,3096.1,11451.05,636.67,26366.15,2249.26
2017-01-03,61814.0,3135.92,11584.24,656.61,26643.24,2257.83
2017-01-04,61589.0,3158.79,11584.31,657.54,26633.13,2270.75
2017-01-05,62071.0,3165.41,11584.94,660.3,26878.24,2269.0
2017-01-09,61700.0,3171.24,11563.99,659.33,26726.55,2268.9
2017-01-10,62132.0,3161.67,11583.3,660.56,26899.56,2268.9
2017-01-11,62446.0,3136.75,11646.17,663.37,27140.41,2275.32
2017-01-12,63954.0,3119.29,11521.04,665.21,27247.16,2270.44
2017-01-13,63652.0,3112.76,11629.18,651.7,27238.06,2274.64
2017-01-17,64354.0,3108.77,11540.0,642.5,27235.66,2267.89
2017-01-18,64150.0,3113.01,11599.39,643.47,27257.64,2271.89
2017-01-19,63951.0,3101.3,11596.89,642.51,27308.6,2263.69
2017-01-20,64521.0,3123.14,11630.13,639.16,27034.5,2271.31
2017-01-23,65749.0,3136.77,11545.75,639.27,27117.34,2265.2
2017-01-24,65840.0,3142.55,11594.94,646.51,27375.58,2280.07
2017-02-03,64954.0,3140.17,11651.49,628.92,28240.52,2297.42
2017-02-06,63993.0,3156.98,11509.84,620.75,28439.28,2292.56
2017-02-07,64199.0,3153.09,11549.44,623.37,28335.16,2293.08
2017-02-08,64835.0,3166.98,11543.38,610.86,28289.92,2294.67
2017-02-09,64965.0,3183.18,11642.86,608.79,28329.7,2307.87
